id	title	artist	bpm	charts	type	game
157	Pumping Jumping	Banya Production	116	S1 S3 S5 S13 S15 S17 S19 SP4 D6 D17 DP5 DP6	NORMAL	FIESTA
156	Mission Possible -Blow Back-	Banya Production	128	S18 SP3 D17 DP5	NORMAL	FIESTA
155	Phantom -Intermezzo-	Banya Production	140	S3 S7 S12 S15 S19 S21 D15 D19 D20 DP3	NORMAL	FIESTA
154	Get Up (and go)	Banya Production	164	S4 S7 S10 S17 D11 D20 DP3	NORMAL	FIESTA
153	Turkey March -Minimal Tunes-	Banya Production	130	S3 S6 S8 S17 D10 D18 DP1	NORMAL	FIESTA
152	Hello William	Banya Production	170	S4 S6 S9 S17 S19 D9 D21	NORMAL	FIESTA
151	Tek -Club Copenhagen-	Banya Production	132	S3 S5 S16 S17 SP5 D17 DP4	NORMAL	FIESTA
150	Arirang	Banya Production	160	S9 S18 S22 D10 D20 DP2	NORMAL	FIESTA
149	Xenesis	Banya Production	152	S4 S7 S10 S18 SP1 D12 D15 D18	NORMAL	FIESTA
148	Do It Reggae Style	Banya Production	96	S13 SP4 D15 DP5	NORMAL	FIESTA
147	NARCISISTA POR EXCELENCIA	PXNDX	164	S3 S5 S8 S16 D9 D18	NORMAL	FIESTA
146	Vacuum	Doin	200	S19 S21 S23 D22 D25 DP3	NORMAL	FIESTA
145	Destination	SHK	150	S4 S7 S11 S16 S18 S19 D13 D20 DP5	NORMAL	FIESTA
144	U Got 2 Know	MAX	127	S2 S7 S8 S17 S18 S19 SP2 D18 DP4	NORMAL	FIESTA
143	Betrayer -act.2-	msgoon	92	S4 S6 S10 SP3 D15 DP3	NORMAL	FIESTA
142	Sorceress Eliese	YAHPP	158	S4 S6 S8 S10 S15 S18 S21 S23 D8 D17 D24 CO2	NORMAL	FIESTA
141	XTREE	YAHPP	190	S3 S7 S12 S20 SP2 D14 D18 D22 DP3	NORMAL	FIESTA
140	Pumptris 8Bit ver.	YAHPP	162	S3 S5 S8 S16 S17 SP15 CO2	NORMAL	NX ~ NXA
139	Trato De No Trabarme	Big metra	105	S10 S22 D24	FULL	NX ~ NXA
138	Digan Lo Que Digan	Nina Pilots	162	S7 S18	FULL	NX ~ NXA
137	Procedimientos Para Llegar A Un Común Acuerdo	PXNDX	160	S6 S17 D7	FULL	NX ~ NXA
136	Panuelito Rojo	Big metra	98	S9 S16 D18	FULL	NX ~ NXA
135	Chopsticks Challenge	YAHPP	128	S15 D19	FULL	NX ~ NXA
134	msgoon RMX pt.3	msgoon	168	S6 S17 D11 D20	REMIX	NX ~ NXA
133	msgoon RMX pt.1	msgoon	120	S7 S17 D17	REMIX	NX ~ NXA
132	Turkey Virus	Banya Production	150-162	S8 S15 D11	REMIX	NX ~ NXA
131	Big metra Remix	Big metra	105	S5 S19 D17	REMIX	NX ~ NXA
130	Nina Pxndx Mix	Nina Pilots & PXNDX	160	S6 S16 D8	REMIX	NX ~ NXA
129	Dr.KOA	Banya Production	156	S8 S18 D20	REMIX	NX ~ NXA
128	Caprice of DJ Otada	Banya Production	180	S11 S19 D22 D25	REMIX	NX ~ NXA
127	The People didn't know “Pumping up”	Banya Production	134	S7 D4 D17	REMIX	NX ~ NXA
126	Final Audition Ep. 2-X	YAHPP	170	S3 S5 S8 S17 S23 D21 D24 DP2	NORMAL	NX ~ NXA
125	Dawn of The Apocalypse	Vassline	160-210	S4 S14 S21 D14 D21	NORMAL	NX ~ NXA
124	Toccata	Banya Production	104	S4 S7 S10 S17 SP3 D14 D17 DP6	NORMAL	NX ~ NXA
123	My Dreams	Banya Production	136	S4 S10 S17 S18 D18 DP5	NORMAL	NX ~ NXA
122	K.O.A : Alice In Wonderworld	Banya Production	156	S2 S3 S5 S8 S17 D10 D18	NORMAL	NX ~ NXA
121	DJ Otada	Banya Production	180	S4 S6 S8 S19 D14 D22	NORMAL	NX ~ NXA
120	The People didn't know	Banya Production	134	S2 S5 S15 D7 D17	NORMAL	NX ~ NXA
119	Digan Lo Que Digan	Nina Pilots	162	S3 S4 S6 S7 S9 S16 D13 D18 DP8	NORMAL	NX ~ NXA
118	Procedimientos Para Llegar A Un Común Acuerdo	PXNDX	160	S3 S7 S15 S18 D7 D16 D19	NORMAL	NX ~ NXA
117	Panuelito Rojo	Big metra	98	S5 S10 SP1 D18 DP4	NORMAL	NX ~ NXA
116	Chopsticks Challenge	YAHPP	128	S6 S17 SP1 D3 D16	NORMAL	NX ~ NXA
115	Cannon X.1	YAHPP	185	S3 S7 S10 S20 S21 D13 D22	NORMAL	NX ~ NXA
114	Blaze Emotion	YAHPP	170	S2 S3 S6 S7 S9 S16 S17 D10 D17 D18	NORMAL	NX ~ NXA
113	Money Fingers	Banya Production	170	S8 S16 D9 D17	REMIX	NX ~ NXA
112	Banya-P Guitar Remix	Banya Production	120	S22 D24	REMIX	NX ~ NXA
111	Energizer	Zig Zag	151	S4 S7 S9 S16 SP2 D11 D17	NORMAL	NX ~ NXA
110	Dance Vibrations	Elpis	130	S4 S5 S10 S14 SP1 D15 D18 DP6	NORMAL	NX ~ NXA
109	Dance All Night	OscillatorX	140	S5 S13 SP2 D15	NORMAL	NX ~ NXA
108	Jam O Beat	Banya Production	120	S7 S14 SP2 D14 DP6	NORMAL	NX ~ NXA
107	Higgledy Piggledy	Banya Production	150	S2 S6 S9 S14 S16 SP1 D8 D15	NORMAL	NX ~ NXA
106	Guitar Man	Banya Production	120	S3 S9 S13 S18 D10 D13 D19	NORMAL	NX ~ NXA
105	Pumptris Quattro	YAHPP	153	S3 S7 S12 S17 S19 SP10 D13 D20 D22 DP2	NORMAL	NX ~ NXA
104	Faster Z	YAHPP	162	S6 S8 S12 S16 S19 S20 D14 D20 D23	NORMAL	NX ~ NXA
103	Monkey Fingers 2	Banya Production	180	S6 S10 S17 D9 D19	NORMAL	NX ~ NXA
102	Money	Banya Production	130	S10 S14 SP4 D12 D16	NORMAL	NX ~ NXA
101	Caprice of Otada	Banya Production	160	S4 S6 S8 S17 D10 D18 D21	NORMAL	NX ~ NXA
100	Beat the ghost	Banya Production	124	S3 S9 S18 S20 D7 D20	NORMAL	NX ~ NXA
99	Solitary 1.5	YAHPP	136	S7 S16 SP4 D18 DP6	NORMAL	NX ~ NXA
98	Beat of The War 2 Full song	YAHPP	120-190	S19 D20	FULL	NX ~ NXA
97	Love is a Danger Zone 2 Full song	YAHPP	100-162	S19 D21	FULL	NX ~ NXA
96	BEMERA	YAHPP	210	S16 S24 D18 D26	REMIX	NX ~ NXA
95	WI-EX-DOC-VA	YAHPP	195	S15 S21 D15 D23	REMIX	NX ~ NXA
94	Final Audition Ep. 2-2	YAHPP	200	S7 S16 S17 S21 S22 D18 D23 D24	NORMAL	NX ~ NXA
93	Final Audition Ep. 2-1	YAHPP	170	S3 S4 S7 S18 S20 S21 D9 D21 D22	NORMAL	NX ~ NXA
92	Ugly Dee	Banya Production	92	S3 S5 S2009 D11 D15	NORMAL	NX ~ NXA
91	Bullfighter's Song	Banya Production	168	S4 S5 S8 S16 D9 D17 D21	NORMAL	NX ~ NXA
90	Gun Rock	Banya Production	104	S5 S11 S17 S18 D11 D18 D22	NORMAL	NX ~ NXA
89	Do U Know That-Old School	Banya Production	120	S4 S6 S14 D18 DP8	NORMAL	NX ~ NXA
88	2006. LOVE SONG	Banya Production	96	S3 S10 S12 S15 D13 DP5	NORMAL	NX ~ NXA
87	Chimera	YAHPP	210	S4 S7 S11 S16 S18 S23 D16 D25 CO2	NORMAL	NX ~ NXA
86	Arch of Darkness	Yahpp	135	S2 S4 S5 S8 S14 S16 D7 D18	NORMAL	NX ~ NXA
85	Witch Doctor #1	Yahpp	122	S2 S5 S8 S9 S15 S16 S18 SP3 D20 D17 D19 DP7	NORMAL	NX ~ NXA
83	Love is a Danger Zone 2 Try To B.P.M	BanYa		S12 S20 D14 D23	REMIX 140~169	EXCEED ~ ZERO
82	Chung Hwa Ban Jeom	Louis	149	S4 S6 S9 S14 SP1 D16 DP2	NORMAL	EXCEED ~ ZERO
81	Papa Gonzales	BanYa	145	S4 S6 S8 S14 D7 D18	NORMAL	EXCEED ~ ZERO
80	Phantom	BanYa	136	S2 S7 S12 S17 S18 D12 D19 D20 DP7	NORMAL	EXCEED ~ ZERO
79	Love is a Danger Zone pt. 2	BanYa	162	S4 S7 S9 S15 S16 S17 S21 D17 D23 CO2	NORMAL	EXCEED ~ ZERO
78	Witch Doctor	BanYa	195	S4 S6 S10 S16 S19 S21 D19 D22 D23	NORMAL	EXCEED ~ ZERO
77	Moonlight	BanYa	180	S4 S7 S10 S18 S19 D11 D20 D21	NORMAL	EXCEED ~ ZERO
76	Beat of The War 2	BanYa	120-190	S4 S5 S6 S10 S16 D12 D19	NORMAL	EXCEED ~ ZERO
75	Canon D FULL Song MIX	Banya	160	S11 S16 D23 D24	FULL	EXCEED ~ ZERO
74	BANYA HIPHOP REMIX	BanYa	99	S6 S7 DP6	REMIX	EXCEED ~ ZERO
73	Banya Classic Remix	BanYa	162-170	S7 S19 D11 D20	REMIX	EXCEED ~ ZERO
72	Tream Vook of the war	BanYa	184-202	S11 S19 D13 D22	REMIX	EXCEED ~ ZERO
71	Canon D	BanYa	160	S3 S7 S9 S17 S20 S21 D10 D17 D22 CO2	NORMAL	EXCEED ~ ZERO
70	Solitary 2	BanYa	136	S4 S6 S8 S17 SP3 D18 DP6	NORMAL	EXCEED ~ ZERO
69	Hi Bi	BanYa	145	S3 S5 S8 S15 S18 D8 D18 D20	NORMAL	EXCEED ~ ZERO
68	J Bong	BanYa	140	S3 S5 S7 S8 S13 D17 DP5	NORMAL	EXCEED ~ ZERO
67	I'll Give You All My Love	Wax	164	S2 S4 S7 S16 D7 D18	NORMAL	EXCEED ~ ZERO
66	Deja Vu	SOM2	115	S1 S3 S6 S13 D6 D13	NORMAL	EXCEED ~ ZERO
65	Get Up!	BanYa	180	S4 S8 S13 D9 D17 D18	NORMAL	EXCEED ~ ZERO
64	X Treme	BanYa	162	S4 S7 S9 S14 S18 D13 D19	NORMAL	EXCEED ~ ZERO
63	Pump Me Amadeus	BanYa	170	S3 S5 S9 S17 D10 D18 D19	NORMAL	EXCEED ~ ZERO
62	Blazing	BanYa	158	S3 S6 S9 S15 D19	NORMAL	EXCEED ~ ZERO
61	Monkey Fingers	BanYa	186	S3 S5 S8 S15 SP5 D17	NORMAL	EXCEED ~ ZERO
60	Naissance 2	BanYa	129	S6 S13 SP3 D15 D19 DP5	NORMAL	EXCEED ~ ZERO
59	Final Audition 3	BanYa	130	S2 S5 S6 S9 S14 S17 SP3 D17 D19 DP5	NORMAL	EXCEED ~ ZERO
58	Come to Me	BanYa	100-107	S4 S6 S11 S12 S15 SP3 D13 D14 DP6	NORMAL	EXTRA ~ PREX3
57	Beat of The War	BanYa	140-202	S3 S5 S9 S10 S15 D12 D19	NORMAL	EXTRA ~ PREX3
56	Hello	BanYa	140	S7 S16 D9 D16	NORMAL	EXTRA ~ PREX3
55	D Gang	BanYa	150	S4 S6 S9 S18 D7 D15	NORMAL	EXTRA ~ PREX3
54	Bee	BanYa	160	S4 S7 S10 S11 S15 S19 D11 D19 D21 D23	NORMAL	EXTRA ~ PREX3
53	Csikos Post	BanYa	180	S3 S7 S10 S13 D8 D16 D21	NORMAL	EXTRA ~ PREX3
52	Vook	BanYa	184	S4 S7 S9 S15 S17 S20 D12 D17 D18 D19	NORMAL	EXTRA ~ PREX3
51	Dance with me	BanYa	122	S2 S4 S6 S12 S14 SP4 D15 DP4 DP6	NORMAL	EXTRA ~ PREX3
50	Set me up	BanYa	120	S2 S4 S6 S9 S13 SP4 DP4 DP7	NORMAL	EXTRA ~ PREX3
49	Miss S' story	BanYa	111	S5 S18 SP3 D19 DP5	NORMAL	EXTRA ~ PREX3
48	We will meet again	BanYa	118	S3 S8 S13 S14 D8	NORMAL	EXTRA ~ PREX3
47	Oy Oy Oy	BanYa	148	S4 S6 S8 S13 SP2 D13 DP3	NORMAL	EXTRA ~ PREX3
46	Till the end of time	BanYa	140	S2 S4 S9 S13 S17 D8 D13 D16 DP3	NORMAL	EXTRA ~ PREX3
45	Will-O'-The-Wisp	BanYa	210	S3 S5 S10 S13 S19 D10 D13 D19 D21	NORMAL	EXTRA ~ PREX3
44	Winter	BanYa	168	S4 S6 S8 S15 D11 D17 D19	NORMAL	EXTRA ~ PREX3
43	Top City	BanYa	110	S4 S6 S12 D7	NORMAL	EXTRA ~ PREX3
42	Street show down	BanYa	124	S7 S15 SP4 D13 DP6	NORMAL	EXTRA ~ PREX3
41	Point Break	BanYa	92	S6 SP3 D14 DP6	NORMAL	EXTRA ~ PREX3
40	My way	BanYa	118	S3 S5 S8 S12 SP2 D15 DP4 DP6	NORMAL	EXTRA ~ PREX3
39	Mission Possible	BanYa	124	S5 S7 S13 S19 D8	NORMAL	EXTRA ~ PREX3
38	Maria	BanYa	136	S6 S11 S15 S18 D15	NORMAL	EXTRA ~ PREX3
37	Love is a Danger Zone	BanYa	140	S3 S7 S10 S15 S19 D6 D15 D20 CO2	NORMAL	EXTRA ~ PREX3
36	Get Your Groove On	BanYa	96	S4 S6 S13 D9	NORMAL	EXTRA ~ PREX3
35	Emperor	BanYa	150	S2 S5 S8 S11 S16 SP3 D17 DP3	NORMAL	EXTRA ~ PREX3
34	Dr. M	BanYa	145	S3 S7 S9 S12 S16 D11 D16	NORMAL	EXTRA ~ PREX3
33	EXTRA BanYa Remix	Banya Production	200	S8 S21 D13	REMIX	NX ~ NXA
32	Final Audition Ep. 1	BanYa	189	S4 S7 S8 S13 S15 S19 D11 D21 D23	NORMAL	EXTRA ~ PREX3
31	CHICKEN WING	BanYa	200	S4 S6 S9 S10 S17 S19 S21 D11 D17 D23	NORMAL	EXTRA ~ PREX3
30	Slam	Novasonic	131	S3 S6 S9 S17 S18 D6 D20	NORMAL	1ST ~ PERFECT COLLECTION
29	Beethoven Virus	BanYa	162	S4 S7 S8 S13 S16 S17 D8 D18 D20 DP3	NORMAL	1ST ~ PERFECT COLLECTION
28	All I Want For X-mas	BanYa	130	S3 S6 S11 D7	NORMAL	1ST ~ PERFECT COLLECTION
27	Rolling Christmas	BanYa	142	S3 S5 S8 S13 D5 D13 D17 CO2	NORMAL	1ST ~ PERFECT COLLECTION
26	N	BanYa	106	S5 S16 SP2 D16 DP5	NORMAL	1ST ~ PERFECT COLLECTION
25	Pump Jump	BanYa	106	S4 S15 SP2 D17 DP4	NORMAL	1ST ~ PERFECT COLLECTION
24	Mr. Larpus	BanYa	190	S3 S5 S11 S14 S20 S22 D14 D17 D23	NORMAL	1ST ~ PERFECT COLLECTION
23	Solitary	BanYa	136	S2 S4 S6 S8 S9 S16 S17 SP3 D7 D16 DP5	NORMAL	1ST ~ PERFECT COLLECTION
22	Betrayer	BanYa	136	S1 S5 S8 S13 S16 SP2 D8 D13 D17	NORMAL	1ST ~ PERFECT COLLECTION
21	First Love	BanYa	104	S4 S9 SP1 D14 DP4	NORMAL	1ST ~ PERFECT COLLECTION
20	Oh! Rosa	BanYa	148	S7 S13 D7	NORMAL	1ST ~ PERFECT COLLECTION
19	Don't Bother Me	Tashannie	110	S4 S5 S10 SP2 D5 D13	NORMAL	1ST ~ PERFECT COLLECTION
18	Pumping Up	BanYa	135	S4 S12	NORMAL	1ST ~ PERFECT COLLECTION
17	She Likes Pizza	BanYa	230	S8 S9 D9 D16	NORMAL	1ST ~ PERFECT COLLECTION
16	Midnight Blue	BanYa	80	S12 SP4 D13 DP5	NORMAL	1ST ~ PERFECT COLLECTION
15	Free Style	BanYa	99	S13 SP1 DP3	NORMAL	1ST ~ PERFECT COLLECTION
14	Close Your Eye	BanYa	105	S4 SP2 DP3	NORMAL	1ST ~ PERFECT COLLECTION
13	Nightmare	BanYa	120	S1 S4 D13 DP5	NORMAL	1ST ~ PERFECT COLLECTION
12	Turkey March	BanYa	150	S3 S7 S12 S15 S18 D9 D17 D19 CO2	NORMAL	1ST ~ PERFECT COLLECTION
11	Naissance	BanYa	136	S4 S7 S8 S10 S20 D7 D15	NORMAL	1ST ~ PERFECT COLLECTION
10	Final Audition 2	BanYa	130	S4 S7 S8 S10 S16 D8 D17 D19 DP3	NORMAL	1ST ~ PERFECT COLLECTION
9	Repeatorment Remix	BanYa	150	S7 S19 D8	REMIX	1ST ~ PERFECT COLLECTION
8	Mobius Strip	Sechs Kies	106	S2 S4 S6 S12 D7 D14	NORMAL	1ST ~ PERFECT COLLECTION
7	Com'Back	Sechs Kies	158	S4 S6 S8 S15 D7 D16	NORMAL	1ST ~ PERFECT COLLECTION
6	Extravaganza	BanYa	195	S4 S7 S9 S11 S16 S21 D12 D17 D19	NORMAL	1ST ~ PERFECT COLLECTION
5	Final Audition	BanYa	130	S2 S6 S7 S9 S15 S17 D15 D17 DP3	NORMAL	1ST ~ PERFECT COLLECTION
4	Another Truth	Novasonic	136	S3 S5 S8 S15 D6 D16 D17 D22	NORMAL	1ST ~ PERFECT COLLECTION
3	Funky Tonight	CLON	105	S2 S4 S5 S12 D4 D14	NORMAL	1ST ~ PERFECT COLLECTION
2	Hypnosis	BanYa	180	S7 S15 S18 D8 D15 D18	NORMAL	1ST ~ PERFECT COLLECTION
1	Ignition Starts	BanYa	146	S8 S15 S18 D10 D17	NORMAL	1ST ~ PERFECT COLLECTION
